Score,Group
7,PL
8,PL
10,CH
9,PL
9,N
6,PH
7,PH
9,PL
8,PL
9,PH
10,N
9,N
10,CH
10,PH
10,CH
10,CH
10,CL
9,CL
10,CL
10,CH
9,CL
10,N
10,N
10,PH
9,CL
10,PL
8,CH
10,CL
10,PH
9,N
