                                                                                                                                         ,Type,Red,Orange,Yellow,Green,Blue,Brown,Total,Weight,Scale
149,peanut,1,3,3,0,0,1,8,21,C
150,caramel,1,2,2,0,2,1,8,21,C
151,plain,4,1,0,2,6,1,14,12,B
154,pb,1,3,2,1,2,6,15,27,B
155,caramel,1,0,0,1,1,3,6,18,B
156,peanut,0,1,1,5,0,0,7,20,B
157,peanut,0,0,1,3,2,0,6,17,A
158,pb,1,2,1,4,1,1,10,18,A
159,plain,2,3,2,3,4,2,16,16,A
160,caramel,2,1,1,1,1,0,6,15,A
161,plain,3,3,4,2,2,1,14,14,E
162,peanut,0,2,0,1,2,1,6,19,E
163,pb,3,5,2,0,1,0,11,19,E
164,caramel,2,1,2,2,0,0,7,20,E
165,plain,2,5,2,2,4,1,16,14,B
166,peanut,0,3,2,1,0,1,7,20,B
167,pb,1,2,2,1,2,2,10,21,B
168,caramel,3,0,0,1,2,1,7,21,B
169,pb,3,1,2,0,1,1,8,17,D
170,peanut,0,0,3,1,2,2,8,23,D
171,caramel,1,1,1,0,3,0,6,19,D
172,plain,0,4,3,1,6,2,16,15,D
173,pb,2,1,3,3,1,0,10,19,E
174,caramel,2,1,0,1,2,1,7,20,E
175,peanut,1,0,2,1,3,0,7,21,E
176,plain,1,4,1,2,4,3,15,13,E
177,pb,0,0,4,4,2,0,10,18,B
178,plain,1,5,2,2,3,2,15,14,B
179,caramel,1,1,2,0,0,2,6,16,B
180,peanut,0,2,2,1,2,0,7,22,B
181,peanut,0,0,2,3,1,0,6,17,C
182,pb,2,0,4,1,1,3,11,17,C
183,plain,1,4,2,2,4,2,15,12,C
184,caramel,1,3,2,0,1,0,7,20,C
185,pb,5,2,3,1,1,0,12,21,A
186,peanut,0,1,2,1,3,0,7,19,A
187,caramel,1,1,3,1,0,2,8,21,A
188,plain,2,4,1,4,4,1,16,14,A
189,pb,1,3,2,1,2,2,11,19,E
190,plain,1,4,3,0,5,1,14,13,E
191,peanut,1,3,1,1,0,1,7,19,E
192,caramel,0,1,2,1,1,2,7,19,E
193,peanut,0,1,0,2,2,2,7,17,C
194,pb,5,0,2,1,0,1,9,17,C
195,plain,2,2,4,1,5,1,15,14,C
196,caramel,0,1,1,1,0,3,6,16,C
197,plain,0,5,1,4,3,1,14,12,A
198,pb,2,1,2,0,0,5,10,17,A
199,peanut,0,1,2,3,1,0,7,17,A
200,caramel,1,1,0,1,2,1,6,17,A
201,plain,4,1,1,4,2,3,15,13,E
202,caramel,0,2,1,0,1,2,6,17,E
203,peanut,1,0,1,1,2,0,5,15,E
204,pb,2,1,3,5,0,0,11,21,E
205,pb,1,5,1,1,0,2,10,19,D
206,plain,1,5,2,1,5,1,15,15,D
207,caramel,1,1,1,0,1,1,5,15,D
208,peanut,0,0,2,4,1,0,7,19,D
209,peanut,0,2,1,3,2,3,11,20,D
210,caramel,1,1,3,0,0,1,6,18,D
211,pb,0,0,0,3,2,2,7,20,D
212,plain,2,2,2,3,5,2,16,15,D
213,peanut,1,1,0,2,2,0,6,17,D
214,pb,1,2,0,3,1,4,11,21,D
215,plain,0,5,2,0,5,1,13,15,D
216,caramel,1,1,0,0,3,2,7,22,D
217,pb,1,2,1,2,1,5,12,23,D
218,peanut,1,2,1,1,1,1,7,20,D
219,caramel,0,4,0,0,1,1,6,18,D
220,plain,0,2,1,2,8,1,14,13,D
221,peanut,3,2,0,1,1,1,8,20,D
222,pb,1,1,1,2,1,4,10,18,D
223,plain,4,1,4,0,6,0,15,15,D
224,caramel,0,1,1,2,1,2,7,20,D
225,plain,2,6,2,1,4,0,15,14,E
226,peanut,1,0,2,2,1,0,6,17,E
227,pb,3,3,0,1,1,3,11,18,E
228,caramel,1,1,1,2,1,1,7,22,E
