Score,Group,Genre,Volume
7,PL,Pop,Low
8,PL,Pop,Low
10,CH,Classical,High
9,PL,Pop,Low
6,PH,Pop,High
7,PH,Pop,High
9,PL,Pop,Low
8,PL,Pop,Low
9,PH,Pop,High
10,CH,Classical,High
10,PH,Pop,High
10,CH,Classical,High
10,CH,Classical,High
10,CL,Classical,Low
9,CL,Classical,Low
10,CL,Classical,Low
10,CH,Classical,High
9,CL,Classical,Low
10,PH,Pop,High
9,CL,Classical,Low
10,PL,Pop,Low
8,CH,Classical,High
10,CL,Classical,Low
10,PH,Pop,High
